vendor,instance,CPU,memory,totalcpu,totalio,totalmem,totalnet,total,price
huawei,c6.large.2,2,4,73.14,96.41,87.42,74.06,331.03,0.46
huawei,c6.large.4,2,8,73.26,94.7,87.73,71.07,326.77,0.71
huawei,c6.xlarge.2,4,8,87.86,104.22,86.33,92.55,370.95,0.91
huawei,c6.xlarge.4,4,16,87.85,101.61,82.82,96.17,368.45,1.42
huawei,c6.2xlarge.2,8,16,97.54,103.78,77.58,143.57,422.46,1.83
huawei,c6.2xlarge.4,8,32,97.67,99.71,81.27,102.52,381.16,2.85
huawei,c6.3xlarge.2,12,32,100.88,103.23,77.6,140.82,422.53,2.74
huawei,c6.3xlarge.4,12,64,101.51,100.45,74.59,170.02,446.56,4.27
huawei,s6.small.1,1,1,56.46,48.73,113.08,61.81,280.08,0.07
huawei,s6.medium.2,1,2,55.94,34.92,112.28,97.23,300.37,0.17
huawei,s6.medium.4,1,4,56.33,85.27,113.37,35.09,290.06,0.34
huawei,s6.large.2,2,4,75.09,96.38,83.84,38.35,293.66,0.36
huawei,s6.large.4,2,8,75.43,98.83,83.4,38.01,295.67,0.68
huawei,s6.xlarge.2,4,8,90.66,102.65,91.08,40.4,324.79,0.73
huawei,s6.xlarge.4,4,16,90.37,100.84,89.07,43.2,323.48,1.37
huawei,s6.2xlarge.2,8,16,100.3,101.58,84.16,228.59,514.63,1.46
huawei,s6.2xlarge.4,8,32,100.79,103.4,86.43,136.72,427.35,2.73
huawei,m6.large.8,2,16,73.29,94.77,85.67,92.1,345.84,0.83
huawei,m6.xlarge.8,4,32,87.86,101.68,91.93,85.54,367.01,1.67
huawei,m6.2xlarge.8,8,64,97.51,102.55,80.96,151.2,432.22,3.4
huawei,m6.3xlarge.8,12,96,101.24,103.9,76.79,147.63,429.57,5.1
aliyun,g6.large,2,8,69.65,93.77,131.4,97.45,392.28,0.5
aliyun,g6.xlarge,4,16,85.83,92.15,94.05,100.54,372.57,1
aliyun,g6.2xlarge,8,32,96.72,91.93,92.89,123.69,405.22,2
aliyun,g6.3xlarge,12,48,100.85,92.59,83.8,120.97,398.22,3
aliyun,g6e.large,2,8,67.67,95.14,132.46,147.68,442.95,0.55
aliyun,g6e.xlarge,4,16,86.23,93.82,92.96,154.31,427.32,1.1
aliyun,g6e.2xlarge,8,32,96.92,92.62,79.8,170.6,439.93,2.2
aliyun,c6.large,2,4,70.07,94.9,131.79,106.41,403.16,0.39
aliyun,c6.xlarge,4,8,85.97,94.59,102.25,105.18,387.99,0.78
aliyun,c6.2xlarge,8,16,96.65,94.84,86.91,117.86,396.25,1.56
aliyun,c6.3xlarge,12,24,100.7,96.12,88.48,124.65,409.95,2.34
aliyun,c6e.large,2,4,70.59,95.56,131.95,199.85,497.95,0.41
aliyun,c6e.xlarge,4,8,86.27,94.67,92.52,157.14,430.61,0.821
aliyun,c6e.2xlarge,8,16,97.16,93.76,89.44,142.35,422.71,1.642
aliyun,r6.large,2,16,68.91,92.48,129.97,101.13,392.48,0.66
aliyun,r6.xlarge,4,32,86.04,91.47,101.31,100.12,378.94,1.33
aliyun,r6.2xlarge,8,64,97.03,92.39,88.85,126.9,405.17,2.65
aliyun,r6.3xlarge,12,96,100.92,94.13,88.96,135.49,419.5,3.98
aliyun,r6e.large,2,16,68.61,93.28,131.98,184.5,478.37,0.729
aliyun,r6e.xlarge,4,32,85.8,93.02,102.57,147.39,428.78,1.458
aliyun,r6e.2xlarge,8,64,96.7,93.16,93.07,147.34,430.27,2.917
aliyun,hfg6.large,2,8,77.09,94.45,143.6,103.77,418.92,0.55
aliyun,hfg6.xlarge,4,16,88.81,93.54,108.65,102.47,393.48,1.1
aliyun,hfg6.2xlarge,8,32,105.72,92.76,99.42,115.52,413.42,2.2
aliyun,hfg6.3xlarge,12,48,110.43,96.87,95.32,132.15,434.77,3.3
aliyun,hfc6.large,2,4,74.22,94.2,141.19,98.05,407.65,0.448
aliyun,hfc6.xlarge,4,8,92.98,94.81,108.23,115.33,411.35,0.896
aliyun,hfc6.2xlarge,8,16,105.18,91.37,95.94,129.72,422.21,1.792
aliyun,hfc6.3xlarge,12,24,108.77,98.51,90.25,130.86,428.39,2.688
aliyun,hfr6.large,2,16,77.15,93.17,143.58,99.35,413.25,0.729
aliyun,hfr6.xlarge,4,32,93.9,92.83,109.54,96.19,392.45,1.458
aliyun,hfr6.2xlarge,8,64,102.96,93.14,97.96,123.94,418,2.917
aliyun,hfr6.3xlarge,12,96,110.83,93.54,91.05,136.51,431.93,4.375
ucloud,n.1.1,1,1,56.41,41.23,112.31,123.22,333.17,0.1
ucloud,n.1.2,1,2,56.42,46.33,112.44,113.02,328.22,0.16
ucloud,n.1.4,1,4,56.29,75.31,112.61,126.59,370.79,0.24
ucloud,n.1.8,1,8,56.72,75.51,112.79,115.84,360.86,0.38
ucloud,n.2.2,2,2,75.13,46.83,83.8,112.24,318,0.28
ucloud,n.2.4,2,4,75.14,76.94,84.62,93.74,330.43,0.37
ucloud,n.2.6,2,6,75.13,76.35,81.6,90.35,323.42,0.49
ucloud,n.2.8,2,8,75.16,76.47,85.91,88.14,325.67,0.49
ucloud,n.2.12,2,12,75.37,76.03,86.58,101.67,339.65,0.75
ucloud,n.2.16,2,16,75.08,74.46,84.5,104.89,338.93,0.77
ucloud,n.4.4,4,4,89.87,77.03,91.3,92.02,350.23,0.56
ucloud,n.4.6,4,6,88.96,76.29,91.26,75.59,332.11,0.73
ucloud,n.4.8,4,8,90.27,76.69,90.11,93.96,351.03,0.75
ucloud,n.4.12,4,12,90.06,76.23,89.45,111.88,367.61,0.99
ucloud,n.4.16,4,16,89.88,75.05,90.61,94.44,349.98,0.99
ucloud,n.4.32,4,32,89.97,75.22,89.37,108.86,363.42,1.55
ucloud,n.8.8,8,8,99.81,76.56,90.4,91.64,358.41,1.13
ucloud,n.8.12,8,12,99.57,76.65,87.42,100.29,363.94,1.5
ucloud,n.8.16,8,16,99.48,76.04,89.35,104.05,368.92,1.5
ucloud,n.8.24,8,24,100.34,75.49,87.34,118.27,381.43,1.99
ucloud,n.8.32,8,32,100.35,75.08,87.2,97.91,360.54,1.98
ucloud,n.8.48,8,48,100.04,75.11,87.69,98.2,361.05,3
ucloud,n.8.64,8,64,99.84,74.98,88.08,105.85,368.74,3.11
tencent,s5.small2,1,2,48.85,35.01,97.73,83.82,265.41,0.08
tencent,s5.small4,1,4,48.52,45.93,97.04,83.43,274.94,0.25
tencent,s5.medium4,2,4,62.74,60.33,118.35,75.26,316.69,0.31
tencent,s5.medium8,2,8,63.23,57.1,119.05,75.29,314.67,0.5
tencent,s5.large8,4,8,77.12,61.58,93.03,79.39,311.13,0.66
tencent,s5.large16,4,16,77.39,63.97,94.37,75.3,311.03,1
tencent,s5.2xlarge16,8,16,87.12,68.87,87.15,91.25,334.39,1.33
